,Name,Title,Price,Description,Tag,Image link
57,j_m_asia,Garden by the bay,S$10.50,😁Get your cheap Singapore attraction tickets here !!   📱📱📱📱📱📱📱      WhatsApp me😊        +65 94222351  ⚜️100% authentic  ⚜️ fast transaction  ⚜️ Affordable price  ⚜️ Reliable seller  ⚜️ Now Attractions Open 😀  👉🌎Universal studios🌎  👉🐋Sea aquarium🐋  👉🗿Madame Tussauds🗿  👉🌿Go green🌿  👉🏎️luge and sky rid,Attractions,https://media.karousell.com/media/photos/products/2020/10/11/garden_by_the_bay_1602387219_2a3d17e7_progressive_thumbnail.jpg
58,joyoffer,GARDEN BY THE BAY CLOUD FOREST,S$8.50,♦️Garden By The Bay And Marina Bay Sands SkyPark 🔹Garden By The Bay (Cloud Forest + Flower Dome) Adult $14 Child $8.50 🔹Marina Bay Sands SkyPark Adult $18 Child $13 🔹Garden By The Bay (Cloud Forest + Flower Dome) + Marina Bay Sands SkyPark Adult $31 Child $21.50  ⛔️For price list of all attractions ,Attractions,https://media.karousell.com/media/photos/products/2020/10/8/garden_by_the_bay_cloud_forest_1602162227_e4287eaa_progressive_thumbnail.jpg
59,attraction_expert,GARDENS BY THE BAY + SEA AQUARIUM SUPER DEAL PROMO !!!,S$29.50,"Adult : $39.50 Child: $29.50 IMPORTANT NOTE: Ticket is valid till February 16, 2021 All visitors will be required to book a time slot for both Gardens by the bay and Sea aquarium. Please see below links  http://ticket.gardensbythebay.com.sg/package/info/93840/4974  http://sdm.rwsentosa.com  For Inqu",Attractions,https://media.karousell.com/media/photos/products/2020/10/7/gardens_by_the_bay__sea_aquari_1602031013_02349856_progressive_thumbnail.jpg
60,joyoffer,MBS SKYPARK GARDEN BY THE BAY,S$8.50,♦️Garden By The Bay And Marina Bay Sands SkyPark 🔹Garden By The Bay (Cloud Forest + Flower Dome) Adult $14 Child $8.50 🔹Marina Bay Sands SkyPark Adult $18 Child $13 🔹Garden By The Bay (Cloud Forest + Flower Dome) + Marina Bay Sands SkyPark Adult $31 Child $21.50  ⛔️For price list of all attractions ,Attractions,https://media.karousell.com/media/photos/products/2020/10/8/mbs_skypark_garden_by_the_bay_1602120161_2304c3f7_progressive_thumbnail.jpg
61,joyoffer,GARDEN BY THE BAY FLOWER DOME,S$8.50,♦️Garden By The Bay And Marina Bay Sands SkyPark 🔹Garden By The Bay (Cloud Forest + Flower Dome) Adult $14 Child $8.50 🔹Marina Bay Sands SkyPark Adult $18 Child $13 🔹Garden By The Bay (Cloud Forest + Flower Dome) + Marina Bay Sands SkyPark Adult $31 Child $21.50  ⛔️For price list of all attractions ,Attractions,https://media.karousell.com/media/photos/products/2020/10/5/garden_by_the_bay_flower_dome_1601899776_695adb41_progressive_thumbnail.jpg
62,howdypanda,[PROMOTION] Gardens by the Bay Tickets,S$13.50,"Selling gardens by the bay tickets with access to flower dome and cloud forest. It's an open dated ticket so you can purchase now and book a timeslot of your choice later. Adult: $14 Child: $8 Bundle (2 adults, 2 children): $41.50 Kindly take note that this will be an e-ticket.",Attractions,https://media.karousell.com/media/photos/products/2020/10/5/promotion_gardens_by_the_bay_t_1601886357_300ccdc2_progressive_thumbnail.jpg
63,hotelz,Staycation and sight seeing tour to garden by the bay,S$68,Stay 1 night at Venue Hotel Lily include pick up at hotel And enjoy evening walk ( 1 hour to Garden by the Bay) Minimum 2 to go at $68 nett per pax. Tipping at $3 per pax,Attractions,https://media.karousell.com/media/photos/products/2020/10/6/staycation_and_sight_seeing_to_1601954657_963ffe5e_progressive_thumbnail.jpg
64,sunny.deals,2K+ Reviews Immed Issue: Gardens by the Bay Flower cloud dome SEA Aquarium  Cable Car Luge Trickeye Madame Tussaud’s,S$26,Immed issue. 2k+ reviews All nationalities. Eticket.   Gardens by the Bay ( Cloud dome and flower dome)  $13.5 adult $8.5 Child  Sea aquarium $26 adult. $18 child  Mdm Tussauds $30 for 2 pax promo. While stock last.   Have promo Zoo etickets.  Selling away due to change of plan by Buyers. Limited ti,Attractions,https://media.karousell.com/media/photos/products/2020/10/3/2k_reviews_immed_issue_gardens_1601720374_c788bd43_progressive_thumbnail.jpg
65,nic_88,Gardens by the bay Forest dome & Cloud forest Adult Entry ticket,S$25,Gardens by the bay Forest dome & Cloud forest entry ticket  2 for $45  Expiry 31/03/2021  PM for details,Attractions,https://media.karousell.com/media/photos/products/2020/9/28/gardens_by_the_bay_forest_dome_1601252518_75321dea_progressive_thumbnail.jpg
66,minimotors_singapore,Universal Studio Tickets (USS),S$59,Date Of Expiry : 18 Oct 2020.  Group Buy Is Available. ,Attractions,https://media.karousell.com/media/photos/products/2020/10/13/universal_studio_tickets_uss_1602580164_e86afc89_progressive_thumbnail
67,am99998,Two Universal Studio open tickets for sale!,S$125,Attractions,Attractions,https://media.karousell.com/media/photos/products/2020/10/13/two_universal_studio_open_tick_1602576297_e938e86c_progressive_thumbnail.jpg
68,wenlin13,Universal Studio SG Open Date Tickets  for 2 adults,S$130,Tickets valid till 2 March 2021.   Have to book slot at RWS website to secure date.  Mail or meet up at Yishun/Canberra/Raffles Place Mrt,Attractions,https://media.karousell.com/media/photos/products/2020/10/5/universal_studio_sg_open_date__1601905341_dba21f61_progressive_thumbnail.jpg
69,g.online,Universal Studio Singapore USS,S$52,"Universal Studios Singapore  USS Tickets for sale.   Limited tickets only  Child $52 Adult $66  Once you confirmed, let me know which date, I will book and send you the tickets.",Attractions,https://media.karousell.com/media/photos/products/2020/10/3/universal_studio_singapore_uss_1601735247_e44bd8d8_progressive_thumbnail.jpg
70,nitekid11,21st November 2020 USS Universal Studios Singapore tickets for sale!,S$60,I have 4 adult and 5 children tickets for sale THAT CAN ONLY BE USED ON 21st November 2020 (Saturday). First day of school holidays!  Adult - $60 Children (4-12 years old) - $48  Able to sell separately.  1st come 1st serve!,Attractions,https://media.karousell.com/media/photos/products/2020/10/1/uss_universal_studios_singapor_1601512188_4723b14c_progressive_thumbnail.jpg
71,trusted_sellerforall,Universal Studio Singapore USS adult ticket,S$66,E ticket Send via what app Child ticket is $55  Availablity need to check on the website:   https://sdm.rwsentosa.com/  Enter the ticket id to reserve the date ,Attractions,https://media.karousell.com/media/photos/products/2020/9/27/universal_studio_singapore_uss_1601198766_9d509c7f_progressive_thumbnail.jpg
72,joyoffer,UNIVERSAL STUDIOS SINGAPORE,S$41,♦️Universal Studios Singapore 📞SMS/WhatsApp ‪92284770 Wendy‬ by clicking this link https://wa.me/6592284770 for promotion packages  ⛔️For price list of all attractions click the link http://joyoffer.blogspot.sg  📞SMS/WhatsApp 92284770 Wendy by clicking this link https://wa.me/6592284770   Tags: univ,Attractions,https://media.karousell.com/media/photos/products/2020/03/29/172726_285665832_thumbnail_progressive_thumbnail.jpg
73,wendyle,Universal Studio Child physical ticket,S$50,Physical Universal Studio ticket for child Ticket will expire on 30 Nov 2020 You can purchase and register for your own visiting day. Pm me if you have enquiry for other attraction ticket ,Attractions,https://media.karousell.com/media/photos/products/2020/10/6/universal_studio_child_physica_1601964058_d4ffc9cb_progressive_thumbnail.jpg
74,elice222,Universal Studio Singapore one day ticket (09/10/2020),S$55,•Due to personal matter cannot go on that day (09.10.2020).  •Cheaper sell the ticket. •Send the E ticket via WhatsApp or email ,Attractions,https://media.karousell.com/media/photos/products/2020/10/3/universal_studio_singapore_one_1601710176_d4b6382d_progressive_thumbnail.jpg
75,travelingaround,SALE Ticket USS Adult Universal Studio Singapore,S$50,"🔥🔥E-TICKET USS🔥🔥  Adult 50$ Child 40$  💯 % Authorized Ticket By RWS⭐️⭐️  - PAYMENT VIA PAYLAH OR PAYNOW OR BANK TRANSFER - FOR ALL GUEST - TIX SEND VIA WHATSAPP OR EMAI⭐️⭐️⭐️   Why you must buy the tickets from us : * 100% legit tickets Authorized ticket by RWS * 100% trusted  * Will ",Attractions,https://media.karousell.com/media/photos/products/2020/7/31/sale_ticket_uss_adult_universa_1596189108_9028bc13_progressive_thumbnail
76,travelingaround,USS TICKET ADULT UNIVERSAL STUDIO SINGAPORE 100% LEGIT,S$50,"🔥🔥E-TICKET USS🔥🔥  Adult 50$ Child 40$  💯 % Authorized Ticket By RWS⭐️⭐️  - PAYMENT VIA PAYLAH OR PAYNOW OR BANK TRANSFER - FOR ALL GUEST - TIX SEND VIA WHATSAPP OR EMAI⭐️⭐️⭐️   Why you must buy the tickets from us : * 100% legit tickets Authorized ticket by RWS * 100% trusted  * Will ",Attractions,https://media.karousell.com/media/photos/products/2020/7/21/uss_ticket_adult_universal_stu_1595299859_dc833411_progressive_thumbnail
77,ttechhap,Open date uss  universal studios Singapore child ticket only,S$999,Uss universal studios Singapore ticket Only left with child Eticket Balance 1 child only   Ticket can be either send via email or print ship over to buyer address ,Attractions,https://media.karousell.com/media/photos/products/2020/7/16/open_date_uss_universal_studio_1594861791_62985ed2_progressive_thumbnail.jpg
78,travel_tickets,Universal studios ticket,S$54,⭐️Universal studios :⭐️       (Thursday- Sunday:  2pm- 9pm) Adult:    13- 59 years old  Child:    4-12     years old  Senior.  60+  ⭐️100% Authentic Admission tickets  ⭐️E tickets 💥💥pls do pm me for more SG ATTRACTION TICKETS 😘,Attractions,https://media.karousell.com/media/photos/products/2020/7/12/universal_studios_ticket_1594513871_60e3e3fc_progressive_thumbnail.jpg
79,ticketbooking.com,USS PROMO Universal studios Singapore tickets,S$57.50,"#1 TRUSTED SELLER  ✔GUARANTEE CHEAPEST✔ 💯 OVER 1000 POSITIVE REVIEWS💯  🔘 One Message Away To Save Your Valuable Money & Time!   🔘 One Of The Most Trusted Seller In Carousell With Over 1000 Positive Reviews!   🔘 Buy From Us With Confidence & Peace Of Mind!   🤚🏽 Appreciate No Further Negotia",Attractions,https://media.karousell.com/media/photos/products/2020/7/2/uss_promo_universal_studios_si_1593654194_f8261e44_progressive_thumbnail.jpg
80,densunb48,Universal Studio Japan (2 Tickets) Pass B,S$90,Pass B  USJ tickets. 2 tickets. Pricing is per ticket,Attractions,https://media.karousell.com/media/photos/products/2020/03/07/120208_281741479_thumbnailm_progressive_thumbnail
81,et_travel,USS (UNIVERSAL STUDIOS SINGAPORE) ETICKET,S$52.50,💥PROMO USS- UNIVERSAL STUDIOS SINGAPORE💥 💯GENUINE E-TICKET & GUARANTEE ENTER  ⏺Adult: $60 ⏺Child (4-12yrs): $52.50 (Purchase with adult ticket first) ⏺Senior (60yrs & above): $44 (Purchase wirh adult ticket first)  🌟OPEN DATE E-TICKET 🌟Able to upgrade for Season Pass or Annual Pass 🌏For ALL national,Attractions,https://media.karousell.com/media/photos/products/2020/01/25/102429_274526337_thumbnail_progressive_thumbnail.jpg
82,sweetytour,Universal Studio Singapore (USS) E-ticket (ONE DAY PASS),S$51,🌎Open date*Universal Studios Singapore (USS)【Valid for 1 to 2mths! 】sentosa 💁🏻Adult- $68.00 👧🏻Child- $52.00  💐Child: 4 - 12 years old 🕗Opening Hours： 10 AM to 7 PM      🔥Eticket send thru Email instantly after ur payment🐾  💌👉🏻How to use tickets: Simply show the electronic tickets on your mobile (wit,Attractions,https://media.karousell.com/media/photos/products/2018/08/30/213930_149495180_thumbnail0_progressive_thumbnail
83,1travelsg,🔥SALE🔥USS Singapore / Universal Studios Singapore E-tickets,S$40,✔️ Caroupay accepted 📱 Whatsapp: 9166-7760 https://wa.me/6591667760 💵  How much will it cost you?  👶 CHILD (4-12)   : $52-56 🧔 ADULT (13-59): $62-$67 👴 SENIOR (60+) : $40-45  🏰 Universal Studios Singapore  🔥 SALE prices: we are the CHEAPEST  💡 FAQs 🎉 Available for all days (even TODAY)  🎉 Public hol,Attractions,https://media.karousell.com/media/photos/products/2020/9/6/saleuss_singapore__universal_s_1599377077_025e775b_progressive_thumbnail.jpg
84,zelendipity,Universal Studios Singapore TICKET,S$52,Adult: $63 Child: $52    Tickets will be send to your whatsapp no need to print can be use for LOCAL AND FOREIGNERS   #uss #universal #universalstudios,Attractions,https://media.karousell.com/media/photos/products/2019/09/17/225434_242350503_thumbnailK_progressive_thumbnail
85,joyce.yingying,SALE!! Universal Studios Singapore USS Physical Ticket,S$61,SALE!!  Universal Studios Singapore USS Physical Ticket Open Date!!   Adult : $61  (Last 3pieces) Child : $52    Contact Joyce @ 91294130.,Attractions,https://media.karousell.com/media/photos/products/2019/08/01/120818_240933299_thumbnailH_progressive_thumbnail
86,dealssg,Uss tickets universal studios,S$50,No scam or cheating  Best price guarantee  One day pass available   All other tickets. PM to enquire,Attractions,https://media.karousell.com/media/photos/products/2018/11/24/211502_201323073_thumbnail_progressive_thumbnail.jpg
87,idealsource,Universal Studio Singapore USS ticket,S$64, Open date Etickets (no more food n retail vouchers) Adult: $64. Child: $49  Via email only.   Payment to POSB 126-260-342,Attractions,https://media.karousell.com/media/photos/products/2018/04/08/212457_163524396_thumbnail.jpg
88,shopaurore,wild wild wet ticket (2x),S$30,"selling a pair of wild wild wet tickets, both tickets for $30.   admission only for 16th october 2020 (friday)",Attractions,https://media.karousell.com/media/photos/products/2020/10/10/wild_wild_wet_ticket_2x_1602340476_2092fdb0_progressive_thumbnail.jpg
89,trusted_sellerforall,Wild wild wet adult ticket ,S$15,E ticket send via what app or email   Please refer to image for ticket details    ,Attractions,https://media.karousell.com/media/photos/products/2020/10/10/wild_wild_wet_1602326294_c5b6a9e9_progressive_thumbnail.jpg
90,joker34,Wild wild wet tickets,S$10,I have 10 wild wild wet tickets goin for $10 each for Saturday 12/9/2020,Attractions,https://media.karousell.com/media/photos/products/2020/9/11/wild_wild_wet_tickets_1599830969_4cacc8ba_progressive_thumbnail.jpg
91,chowow,Wild Wild Wet 26 Sep Ticket,S$12,Bought extra. Only for today. Call me 93892080 if u want to buy for today.,Attractions,https://media.karousell.com/media/photos/products/2020/9/26/wild_wild_wet_26_sep_ticket_1601095987_4bf4949f_progressive_thumbnail.jpg
92,fifacoins_ultimate,Wild wild wet tickets for 29 August 2020 (Day pass),S$20,Urgently selling of wild wild wet tickets for 29 August the most I can nego is $20 bcoz each ticket is $15 :) Pay now me at my phone number once I receive I’ll send the tickets ,Attractions,https://media.karousell.com/media/photos/products/2020/8/21/wild_wild_wet_tickets_for_22_a_1598011942_46a4739a_progressive_thumbnail.jpg
93,butterflyhousefly,Wild Wild Wet tickets for four [email protected] on 28Jun19 - sold,S$15,4 adult Wild Wild Wet tickets for sale on 28Jun19(Superpeak). $15 for one. Price negotiable if buy more tickets. Can arrange for meet up if interested. Price discounted.,Attractions,https://media.karousell.com/media/photos/products/2019/06/26/081602_235843991_thumbnail_progressive_thumbnail.jpg
94,herubudi-starjoyticket,Wild wild wet Tickets open date until 31 Oct,S$17,"etickets adult and child same price sgd17 open date until 31 Oct Wild wild wet swimming pools in Downtown east near pasir Ris MRT singapore, whatsapp 93723470 for more detail",Attractions,https://media.karousell.com/media/photos/products/2020/8/11/wild_wild_wet_tickets_open_dat_1597111078_9fdf1cfd_progressive_thumbnail.jpg
95,caprilinx,Wild Wild Wet Adult E-tickets (Valid till 30 Sep 2020),S$15,Wild Wild Wet  For Adult admission E-tickets  Valid till 30 Sep 2020  Will send E-tickets to you upon payment received,Attractions,https://media.karousell.com/media/photos/products/2020/8/2/wild_wild_wet_adult_etickets_v_1596343961_7581dd5f_progressive_thumbnail.jpg
96,raymonds09,Wild wild wet 2 adult tickets (peak days),S$0,wildwildwet ,Attractions,https://media.karousell.com/media/photos/products/2020/03/14/121057_283077609_thumbnail_progressive_thumbnail.jpg
97,sgrediscover,WILD WILD WET (BIG DISCOUNT),S$15,"What you will get:  WILD WILD WET ADMISSION TICKET (Valid to use until OCTOBER 31, 2020)  Adult / Child promo at $15 only (3 year old and above)  Opening hours   Thursdays to Mondays 12pm to 6pm Closed on Tuesdays and Wednesdays  Getting here  Address: Downtown East, 1 Pasir Ris Cl, Singapore 519599",Attractions,https://media.karousell.com/media/photos/products/2020/10/13/wild_wild_wet_big_discount_1602562172_7d11663d_progressive_thumbnail
98,flynfiesta,Wild Wild Wet : -E-Ticket  - SPECIAL OFFER - $16/Ticket,S$16," -Singapore Local Attractions: E-Ticket (Skip the Que & save money)   	 We are offering the BEST deals. Please contact: +65 98895410, +65 88125089 (Whatsup can)   Ticket Collection: E-Ticket, we will send it to you by email / Whatsup.   For more special deals: https://www.facebook.com/flynfiesta   P",Attractions,https://media.karousell.com/media/photos/products/2018/07/11/133033_178972755_thumbnail0_progressive_thumbnail
99,sweetytour,wild wild wet E-ticket,S$12,"👀Open date 🏊🏻Wild Wild Wet【Valid to 30 Dec! 】  Peak 💦 (Saturday,Sunday & Gazeteed School & Public Holidays) Adult :$27.00 Child :$23.00    Off Peak💧 (Weekdays,except Gazeteed School & Public Holidays) Adult :$21.00 Child :$16.00  💐Child: 2 - 12 years old，⭐️below 2 years old can enter for free. 🕗Open",Attractions,https://media.karousell.com/media/photos/products/2018/08/31/092702_143526374_thumbnail0_progressive_thumbnail
100,lim.98,2×  Cheap Wild Wild Wet Ticket,S$0,Selling Wild wild wet ticket  1 for $15 2 for $25  Expiry date: 1 month (From the date issue)  Meet up at lakeside mrt or Postage available  Interested pls pm me thx,Attractions,https://media.karousell.com/media/photos/products/2019/06/28/223931_236287063_thumbnail_progressive_thumbnail.jpg
101,loverbabe,Wild wild wet tickets,S$18,Wild wild wet tickets on sale till oct 2019.. selling 1 tixs for onli $18 usual $24 for weekdays ...if weekend is $28 each...usual $32...this is for adult price ..  buy more gt more discount ..,Attractions,https://media.karousell.com/media/photos/products/2019/09/12/234331_250309793_thumbnailz_progressive_thumbnail
102,looneyrooneylun,Wild Wild Wet tickets,S$6,Lelong lelong!  Last day of the year. New Year Eve (Public Holida  Free entry to Wild Wild Wet and bowling.  Tickets expiring on 31st Dec 2018.,Attractions,https://media.karousell.com/media/photos/products/2018/12/30/225403_207238393_thumbnail_progressive_thumbnail.jpg
103,butterflyhousefly,Wild Wild Wet tickets on [email protected] East - sold,S$15,"4 adult tickets available on Superpeak holiday, 29Jun19. Weekend ticket @$15 for 1 ticket. Price negotiable if buying more. Price discounted.",Attractions,https://media.karousell.com/media/photos/products/2019/06/26/085706_235847033_thumbnail_progressive_thumbnail.jpg
104,zongwei0809,Wild wild wet tickets,S$12,"One for $12, two for $22",Attractions,https://media.karousell.com/media/photos/products/2019/07/13/152330_239448842_thumbnail_progressive_thumbnail.jpg
105,withabubble,Wet n Wild Photofocus Matte Setting Spray,S$12,"Brand new, sealed",Attractions,https://media.karousell.com/media/photos/products/2020/10/13/wet_n_wild_photofocus_matte_se_1602598482_754f8540_progressive_thumbnail.jpg
106,caprilinx,Wild Wild Wet Adult Tickets (Valid for any day till 30 Jun),S$18,Tickets are valid till 30 Jun 2020  $18 each,Attractions,https://media.karousell.com/media/photos/products/2020/02/28/174407_273388375_thumbnailo_progressive_thumbnail
107,babyrhino493,WILD WILD WET TICKETS (CHEAP),S$20,"[OFF PEAK] Adult: $20 (U.P $24)  [PEAK] Adult: $26 (U.P $32)  [PEAK]: Saturday, Sunday, Gazetted School and Public Holidays  ⛔I have only Adult tickets, NO child tickets! ✅These are open dates physical tickets, valid till Feb 2020. (Can be used on all days; Weekdays, Weekends, School and Public Holi",Attractions,https://media.karousell.com/media/photos/products/2019/09/24/214013_253219649_thumbnail_progressive_thumbnail.jpg
108,babyrhino493,CHEAP PHYSICAL WILD WILD WET TICKETS,S$20,"[OFF PEAK] Adult: $20 (U.P $24)  [PEAK] Adult: $26 (U.P $32)  [PEAK]: Saturday, Sunday, Gazetted School and Public Holidays  ⛔I have only Adult tickets, NO child tickets! ✅These are open dates physical tickets, valid till Feb 2020. (Can be used on all days; Weekdays, Weekends, School and Public Holi",Attractions,https://media.karousell.com/media/photos/products/2019/09/13/211902_251228599_thumbnail_progressive_thumbnail.jpg
109,babyrhino493,Physical Wild Wild Wet Tickets (Cheap),S$20,"[OFF PEAK] Adult: $20 (U.P $24)  [PEAK] Adult: $26 (U.P $32)  [PEAK]: Saturday, Sunday, Gazetted School and Public Holidays  ⛔I have only Adult tickets, NO child tickets! ✅These are open dates physical tickets, valid till Feb 2020. (Can be used on all days; Weekdays, Weekends, School and Public Holi",Attractions,https://media.karousell.com/media/photos/products/2019/08/16/192308_245962181_thumbnail_progressive_thumbnail.jpg
110,sweetytour,Jurong Bird Park with Tram E-Ticket,S$13.50,👀Open dated 🕊💐Jurong Bird Park with tram ticket【 Valid  1-2 mons! 】 💁🏻Adult-  $19.60  👧🏻Child: $13.50    Child: 3- 12 years old Opening Hours： 8.30 AM to 6 PM daily.   👉🏻Secure the deal with payment to DBS 003-934053-2 / OCBC 686-171679-001 / paylah 91009154 !  💌👉🏻How to use tickets: Don't need prin,Attractions,https://media.karousell.com/media/photos/products/2018/08/30/215922_147008265_thumbnail0_progressive_thumbnail
111,gaoyan825,裕廊飞禽公园门票两张 Jurong bird park ticket,S$21,"Jurong bird park E-ticket SGD21,expiry till 29.02.2019 裕廊飞禽公园门票 电子票 一张21新  有效期到2019年2月29号",Attractions,https://media.karousell.com/media/photos/products/2019/11/17/163740_262867578_thumbnail_progressive_thumbnail.jpg
112,sunny.deals,2K+ Reviews Jurong Bird Park Gardens by the Bay Flower & Cloud Dome sea aquarium Trickeye tussaud Jurong Bird Park river Safari ,S$26,2K+ Reviews Jurong Bird Park Gardens by the Bay Flower & Cloud Dome sea aquarium Trickeye tussaud Jurong Bird Park river Safari  All nationalities. Etickets send to yr email   Immed Issue. 2K+ Reviews  Gardens by the Bay - Flower & Cloud Dome $14 ( Adult ) $9( Child )  Jurong Bird Park $23 River Saf,Attractions,https://media.karousell.com/media/photos/products/2020/10/12/2k_reviews_jurong_bird_park_ga_1602470398_2829dc26_progressive_thumbnail.jpg
113,sgeload,Jurong Bird Park Adult  and Child  Ticket,S$24.50,Purchase  E-tickets  Download  Scan And Go!  All the best  Instant  Ticket.,Attractions,https://media.karousell.com/media/photos/products/2018/09/23/145644_191366279_thumbnail_progressive_thumbnail.jpg
114,besttours,Jurong Bird Park Ticket,S$20,Attractions,Attractions,https://media.karousell.com/media/photos/products/2018/06/14/030630_174640838_thumbnail0_progressive_thumbnail
115,hannabananas,Jurong bird park ticket,S$20,20sgd each. Usual price 36sgd  #birdpark #jurongbirdpark,Attractions,https://media.karousell.com/media/photos/products/2019/08/01/102752_232858605_thumbnails_progressive_thumbnail
116,gyes51y767p,Jurong bird park admission ticket *3,S$80,Three tickets for adult to jurong bird park on 12/07/2018.    It is e -ticket.  Can print out for u if buy it  ,Attractions,https://media.karousell.com/media/photos/products/2018/06/26/072000_176239142_thumbnail_progressive_thumbnail.jpg
117,useuser,Jurong Bird Park Ticket,S$50,Price is for one pair of adult tickets  Please pm for more info.,Attractions,https://media.karousell.com/media/photos/products/2018/09/08/232045_189017652_thumbnail_progressive_thumbnail.jpg
118,sunny.deals,2K Review Immed issue: Sea Aquarium luge Skyride Cable Car  Jurong Bird Park  Sentosa Marina Bay SkyPark USS Universal Studios Studio,S$59,Immed issue. 2k+ reviews All nationalities. Eticket.   Sea aquarium $26 adult. $18 child  Mdm Tussauds $30 for 2 pax promo.  Trickeye $13  Reserved ticket at discount due to last minute change by plan by buyer: Universal Studio $59 While stock last.   Gardens by the Bay ( Cloud dome and flower dome),Attractions,https://media.karousell.com/media/photos/products/2020/10/13/2k_review_immed_issue_sea_aqua_1602633077_7fea6573_progressive_thumbnail.jpg
119,wintan,"Singapore Zoo,Jurong Bird Park and Night Safari",S$55,3 adult tickets available for Singapore Zoo and Jurong Bird Park. ( 2 in 1 ) Discount Price $55 (per person). Usual price ($61) Available date on 5/10-11/10/2020  3 available tickets for Night Safari *ONLY available date on 9/10 @7.15pm  Discount price $30. Usual price ($35.70)  Will email or WhatsA,Attractions,https://media.karousell.com/media/photos/products/2020/10/5/singapore_zoojurong_bird_park__1601914429_b14e3466_progressive_thumbnail.jpg
120,sunny.deals,2K+Reviews Immed issue:  Luge Skyride Jurong Bird Park Safari night Gardens by the Bay sea aquarium Cable car ,S$19,Immed issue. 2k+ reviews  Luge Skyride 2 rounds each $19 Sea aquarium $26 adult. $18 child  Mdm Tussauds $30 for 2 pax promo. While stock last.   Gardens by the Bay $14 adult $8.5 Child  Have promo Wildlife etickets.  Selling away due to change of plan by Buyers. Limited tickets left. Act fast. Thx.,Attractions,https://media.karousell.com/media/photos/products/2020/10/5/2kreviews_immed_issue_luge_sky_1601937409_85896c02_progressive_thumbnail.jpg
121,cheapticketsheree,Jurong Bird Park,S$25,!! FYI JURONG BIRD PARK CLOSES AT 6PM !!  WhatsApp me for enquires and booking of tickets!  Jurong Bird Park (1-Day) Adult Ticket: Original: $30 Mine: $25  ✅ 100% REAL tickets ✅ Sent tickets through WhatsApp ✅ Payment by Paylah/Paynow  wa.me/6585231361,Attractions,https://media.karousell.com/media/photos/products/2020/9/18/jurong_bird_park_1600432550_da9f0452_progressive_thumbnail.jpg
122,gmr_holiday,Jurong bird Park,S$15,***TRUSTED SELLER***     ✔GUARANTEE CHEAPEST✔ 💯OVER 100% POSITIVE REVIEWS💯  🛑 BOTH LOCALS & TOURIST CAN USE!!  🛑 BUY WITH CONFIDENCE & PEACE MIND FROM US!!    💯% CHEAPEST IN TOWN   💯% TRUSTED AGENT/ AUTHENTIC E-TICKET AND PHYSICAL TICKETS   💯% POSITIVE REVIEWS   ❌STRICTLY NO REFUND ❌  📞📲 FOR FAST DE,Attractions,https://media.karousell.com/media/photos/products/2020/9/15/jurong_bird_park_1600200852_c5db1b13_progressive_thumbnail.jpg
123,sg_seller_2020,Jurong Bird Park without tram,S$22,Jurong bird park Without tram   Adult only $22,Attractions,https://media.karousell.com/media/photos/products/2020/9/9/jurong_bird_park_without_tram_1599645613_e44a6e2e_progressive_thumbnail.jpg
124,les8468,1997 Singapore sterling silver proof coin set (Jurong Bird Park),S$83,In great condition ,Attractions,https://media.karousell.com/media/photos/products/2020/10/1/1997_singapore_sterling_silver_1601536121_187601ee_progressive_thumbnail.jpg
125,cassdleong,Limited edition Jurong Bird Park Plushie,S$20,Priced to sell. Moving house. Generally good condition cos kept in cabinet. Self collection at Punggol. Thanks,Attractions,https://media.karousell.com/media/photos/products/2020/10/5/limited_edition_jurong_bird_pa_1601888594_5efcaaca_progressive_thumbnail.jpg
126,sunny.deals,2K+ review Immed issue:  Jurong Bird Park  JBP  Night Safari River Safari etickets ,S$23,2K+ Reviews  Immed issue:  Jurong Bird Park $23  River Safari Night Safari avail  Reserved tickets giving up at promo price. Enquire on the price Eticket send to yr email. Fast and convenient. Enquirer on date and price   Msg to enquire on price for  Night safari  Jurong Bird Park ,Attractions,https://media.karousell.com/media/photos/products/2020/9/25/2k_review_immed_issue_zoo_juro_1600999242_b6a7d25e_progressive_thumbnail.jpg
127,pineappke,Night Safari / Jurong Bird Park figurines pin,S$12,Selling it for 1 set (individual is available) Meetup available (Tampines MRT preferred),Attractions,https://media.karousell.com/media/photos/products/2020/8/10/night_safari__jurong_bird_park_1597040859_ff331473_progressive_thumbnail.jpg
128,pineappke,Singapore Zoo / Night Safari / Jurong Bird Park Figurine pins,S$20,Selling it for 1 set (individual is available) Meetup available (Tampines MRT preferred),Attractions,https://media.karousell.com/media/photos/products/2020/8/10/figurine_pins_1597040371_0c1c6e75_progressive_thumbnail.jpg
129,icloset,Pink Flamingo Cotton T-shirt 4Y WRS Jurong Bird Park,S$4,Stain(s) as seen   Preloved not for fussy buyers  $1.40 for normal mail   Payment via PayLah or PayNow,Attractions,https://media.karousell.com/media/photos/products/2020/9/10/pink_flamingo_cotton_tshirt_4y_1599728059_c73de608_progressive_thumbnail.jpg
